file,line,control_type,label,text,title,aria_label,role,aria_controls,aria_expanded,aria_haspopup,target,id,classes,context_signature,is_menu_item,is_dropdown_trigger,placement
docs/master-docs/index.html,45,a,Assets,Assets,,,,,,,/kybalion/docs/assets/,,menu-link admin-only is-hidden,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link admin-only is-hidden,yes,no,header_menu
docs/master-docs/index.html,46,a,Master Documents,Master Documents,,,,,,,/kybalion/docs/master-docs/,,menu-link admin-only is-hidden,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link admin-only is-hidden,yes,no,header_menu
docs/master-docs/index.html,58,button,Upload,Upload,,,,,,,headerUploadBtn,headerUploadBtn,button primary is-hidden,html body div page-wrap header page-header div header-content div header-actions button button primary is-hidden headeruploadbtn,no,no,header
docs/master-docs/index.html,59,button,+ New,+ New,,,,,,,headerNewFolderBtn,headerNewFolderBtn,button secondary is-hidden,html body div page-wrap header page-header div header-content div header-actions button button secondary is-hidden headernewfolderbtn,no,no,header
docs/master-docs/index.html,60,input,input:file,,,,,,,,uploadInput,uploadInput,file-input-hidden,html body div page-wrap header page-header div header-content div header-actions input file-input-hidden uploadinput,no,no,header
docs/session-01/index.html,12,button,Main Menu,Main Menu,,,,menuPanel,false,true,menuBtn,menuBtn,button secondary,html body div page-wrap header topbar div menu-wrapper button button secondary menubtn,yes,no,header_menu
docs/session-01/index.html,16,a,Home,Home,,,,,,,/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-01/index.html,17,a,Kybalion Home,Kybalion Home,,,,,,,/kybalion/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-01/index.html,18,a,Reader,Reader,,,,,,,/kybalion/reader.html,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-01/index.html,19,a,Document Library,Document Library,,,,,,,/kybalion/docs/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-01/index.html,20,a,Sign In / Create Account,Sign In / Create Account,,,,,,,/auth/login?redirect=/kybalion/docs/session-01/,menuAuthLink,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link menuauthlink,yes,no,header_menu
docs/session-01/index.html,21,a,Change Password,Change Password,,,,,,,/app/user-settings,menuChangePasswordLink,menu-link is-hidden,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link is-hidden menuchangepasswordlink,yes,no,header_menu
docs/session-01/index.html,22,button,Log Out,Log Out,,,,,,,menuSignOutLink,menuSignOutLink,menu-link is-hidden,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section button menu-link is-hidden menusignoutlink,yes,no,header_menu
docs/session-01/index.html,26,a,General,General,,,,,,,/kybalion/docs/general/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-01/index.html,28,button,Sessions ▸,Sessions ▸,,,,,,,menuSessionsBtn,menuSessionsBtn,menu-link menu-sessions-trigger,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper button menu-link menu-sessions-trigger menusessionsbtn,yes,yes,header_menu
docs/session-01/index.html,30,a,Session 1,Session 1,,,,,,,/kybalion/docs/session-01/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-01/index.html,31,a,Session 2,Session 2,,,,,,,/kybalion/docs/session-02/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-01/index.html,32,a,Session 3,Session 3,,,,,,,/kybalion/docs/session-03/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-01/index.html,33,a,Session 4,Session 4,,,,,,,/kybalion/docs/session-04/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-01/index.html,34,a,Session 5,Session 5,,,,,,,/kybalion/docs/session-05/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-01/index.html,35,a,Session 6,Session 6,,,,,,,/kybalion/docs/session-06/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-01/index.html,36,a,Session 7,Session 7,,,,,,,/kybalion/docs/session-07/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-01/index.html,37,a,Session 8,Session 8,,,,,,,/kybalion/docs/session-08/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-01/index.html,38,a,Session 9,Session 9,,,,,,,/kybalion/docs/session-09/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-01/index.html,39,a,Session 10,Session 10,,,,,,,/kybalion/docs/session-10/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-01/index.html,40,a,Session 11,Session 11,,,,,,,/kybalion/docs/session-11/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-01/index.html,41,a,Session 12,Session 12,,,,,,,/kybalion/docs/session-12/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-01/index.html,44,a,Templates,Templates,,,,,,,/kybalion/docs/templates/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-01/index.html,45,a,Assets,Assets,,,,,,,/kybalion/docs/assets/,,menu-link admin-only is-hidden,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link admin-only is-hidden,yes,no,header_menu
docs/session-01/index.html,46,a,Master Documents,Master Documents,,,,,,,/kybalion/docs/master-docs/,,menu-link admin-only is-hidden,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link admin-only is-hidden,yes,no,header_menu
docs/session-01/index.html,58,button,Upload,Upload,,,,,,,headerUploadBtn,headerUploadBtn,button primary is-hidden,html body div page-wrap header page-header div header-content div header-actions button button primary is-hidden headeruploadbtn,no,no,header
docs/session-01/index.html,59,button,+ New,+ New,,,,,,,headerNewFolderBtn,headerNewFolderBtn,button secondary is-hidden,html body div page-wrap header page-header div header-content div header-actions button button secondary is-hidden headernewfolderbtn,no,no,header
docs/session-01/index.html,60,input,input:file,,,,,,,,uploadInput,uploadInput,file-input-hidden,html body div page-wrap header page-header div header-content div header-actions input file-input-hidden uploadinput,no,no,header
docs/session-02/index.html,12,button,Main Menu,Main Menu,,,,menuPanel,false,true,menuBtn,menuBtn,button secondary,html body div page-wrap header topbar div menu-wrapper button button secondary menubtn,yes,no,header_menu
docs/session-02/index.html,16,a,Home,Home,,,,,,,/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-02/index.html,17,a,Kybalion Home,Kybalion Home,,,,,,,/kybalion/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-02/index.html,18,a,Reader,Reader,,,,,,,/kybalion/reader.html,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-02/index.html,19,a,Document Library,Document Library,,,,,,,/kybalion/docs/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-02/index.html,20,a,Sign In / Create Account,Sign In / Create Account,,,,,,,/auth/login?redirect=/kybalion/docs/session-02/,menuAuthLink,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link menuauthlink,yes,no,header_menu
docs/session-02/index.html,21,a,Change Password,Change Password,,,,,,,/app/user-settings,menuChangePasswordLink,menu-link is-hidden,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link is-hidden menuchangepasswordlink,yes,no,header_menu
docs/session-02/index.html,22,button,Log Out,Log Out,,,,,,,menuSignOutLink,menuSignOutLink,menu-link is-hidden,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section button menu-link is-hidden menusignoutlink,yes,no,header_menu
docs/session-02/index.html,26,a,General,General,,,,,,,/kybalion/docs/general/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-02/index.html,28,button,Sessions ▸,Sessions ▸,,,,,,,menuSessionsBtn,menuSessionsBtn,menu-link menu-sessions-trigger,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper button menu-link menu-sessions-trigger menusessionsbtn,yes,yes,header_menu
docs/session-02/index.html,30,a,Session 1,Session 1,,,,,,,/kybalion/docs/session-01/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-02/index.html,31,a,Session 2,Session 2,,,,,,,/kybalion/docs/session-02/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-02/index.html,32,a,Session 3,Session 3,,,,,,,/kybalion/docs/session-03/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-02/index.html,33,a,Session 4,Session 4,,,,,,,/kybalion/docs/session-04/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-02/index.html,34,a,Session 5,Session 5,,,,,,,/kybalion/docs/session-05/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-02/index.html,35,a,Session 6,Session 6,,,,,,,/kybalion/docs/session-06/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-02/index.html,36,a,Session 7,Session 7,,,,,,,/kybalion/docs/session-07/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-02/index.html,37,a,Session 8,Session 8,,,,,,,/kybalion/docs/session-08/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-02/index.html,38,a,Session 9,Session 9,,,,,,,/kybalion/docs/session-09/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-02/index.html,39,a,Session 10,Session 10,,,,,,,/kybalion/docs/session-10/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-02/index.html,40,a,Session 11,Session 11,,,,,,,/kybalion/docs/session-11/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-02/index.html,41,a,Session 12,Session 12,,,,,,,/kybalion/docs/session-12/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-02/index.html,44,a,Templates,Templates,,,,,,,/kybalion/docs/templates/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-02/index.html,45,a,Assets,Assets,,,,,,,/kybalion/docs/assets/,,menu-link admin-only is-hidden,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link admin-only is-hidden,yes,no,header_menu
docs/session-02/index.html,46,a,Master Documents,Master Documents,,,,,,,/kybalion/docs/master-docs/,,menu-link admin-only is-hidden,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link admin-only is-hidden,yes,no,header_menu
docs/session-02/index.html,58,button,Upload,Upload,,,,,,,headerUploadBtn,headerUploadBtn,button primary is-hidden,html body div page-wrap header page-header div header-content div header-actions button button primary is-hidden headeruploadbtn,no,no,header
docs/session-02/index.html,59,button,+ New,+ New,,,,,,,headerNewFolderBtn,headerNewFolderBtn,button secondary is-hidden,html body div page-wrap header page-header div header-content div header-actions button button secondary is-hidden headernewfolderbtn,no,no,header
docs/session-02/index.html,60,input,input:file,,,,,,,,uploadInput,uploadInput,file-input-hidden,html body div page-wrap header page-header div header-content div header-actions input file-input-hidden uploadinput,no,no,header
docs/session-03/index.html,12,button,Main Menu,Main Menu,,,,menuPanel,false,true,menuBtn,menuBtn,button secondary,html body div page-wrap header topbar div menu-wrapper button button secondary menubtn,yes,no,header_menu
docs/session-03/index.html,16,a,Home,Home,,,,,,,/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-03/index.html,17,a,Kybalion Home,Kybalion Home,,,,,,,/kybalion/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-03/index.html,18,a,Reader,Reader,,,,,,,/kybalion/reader.html,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-03/index.html,19,a,Document Library,Document Library,,,,,,,/kybalion/docs/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-03/index.html,20,a,Sign In / Create Account,Sign In / Create Account,,,,,,,/auth/login?redirect=/kybalion/docs/session-03/,menuAuthLink,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link menuauthlink,yes,no,header_menu
docs/session-03/index.html,21,a,Change Password,Change Password,,,,,,,/app/user-settings,menuChangePasswordLink,menu-link is-hidden,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link is-hidden menuchangepasswordlink,yes,no,header_menu
docs/session-03/index.html,22,button,Log Out,Log Out,,,,,,,menuSignOutLink,menuSignOutLink,menu-link is-hidden,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section button menu-link is-hidden menusignoutlink,yes,no,header_menu
docs/session-03/index.html,26,a,General,General,,,,,,,/kybalion/docs/general/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-03/index.html,28,button,Sessions ▸,Sessions ▸,,,,,,,menuSessionsBtn,menuSessionsBtn,menu-link menu-sessions-trigger,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper button menu-link menu-sessions-trigger menusessionsbtn,yes,yes,header_menu
docs/session-03/index.html,30,a,Session 1,Session 1,,,,,,,/kybalion/docs/session-01/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-03/index.html,31,a,Session 2,Session 2,,,,,,,/kybalion/docs/session-02/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-03/index.html,32,a,Session 3,Session 3,,,,,,,/kybalion/docs/session-03/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-03/index.html,33,a,Session 4,Session 4,,,,,,,/kybalion/docs/session-04/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-03/index.html,34,a,Session 5,Session 5,,,,,,,/kybalion/docs/session-05/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-03/index.html,35,a,Session 6,Session 6,,,,,,,/kybalion/docs/session-06/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-03/index.html,36,a,Session 7,Session 7,,,,,,,/kybalion/docs/session-07/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-03/index.html,37,a,Session 8,Session 8,,,,,,,/kybalion/docs/session-08/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-03/index.html,38,a,Session 9,Session 9,,,,,,,/kybalion/docs/session-09/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-03/index.html,39,a,Session 10,Session 10,,,,,,,/kybalion/docs/session-10/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-03/index.html,40,a,Session 11,Session 11,,,,,,,/kybalion/docs/session-11/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-03/index.html,41,a,Session 12,Session 12,,,,,,,/kybalion/docs/session-12/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-03/index.html,44,a,Templates,Templates,,,,,,,/kybalion/docs/templates/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-03/index.html,45,a,Assets,Assets,,,,,,,/kybalion/docs/assets/,,menu-link admin-only is-hidden,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link admin-only is-hidden,yes,no,header_menu
docs/session-03/index.html,46,a,Master Documents,Master Documents,,,,,,,/kybalion/docs/master-docs/,,menu-link admin-only is-hidden,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link admin-only is-hidden,yes,no,header_menu
docs/session-03/index.html,58,button,Upload,Upload,,,,,,,headerUploadBtn,headerUploadBtn,button primary is-hidden,html body div page-wrap header page-header div header-content div header-actions button button primary is-hidden headeruploadbtn,no,no,header
docs/session-03/index.html,59,button,+ New,+ New,,,,,,,headerNewFolderBtn,headerNewFolderBtn,button secondary is-hidden,html body div page-wrap header page-header div header-content div header-actions button button secondary is-hidden headernewfolderbtn,no,no,header
docs/session-03/index.html,60,input,input:file,,,,,,,,uploadInput,uploadInput,file-input-hidden,html body div page-wrap header page-header div header-content div header-actions input file-input-hidden uploadinput,no,no,header
docs/session-04/index.html,12,button,Main Menu,Main Menu,,,,menuPanel,false,true,menuBtn,menuBtn,button secondary,html body div page-wrap header topbar div menu-wrapper button button secondary menubtn,yes,no,header_menu
docs/session-04/index.html,16,a,Home,Home,,,,,,,/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-04/index.html,17,a,Kybalion Home,Kybalion Home,,,,,,,/kybalion/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-04/index.html,18,a,Reader,Reader,,,,,,,/kybalion/reader.html,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-04/index.html,19,a,Document Library,Document Library,,,,,,,/kybalion/docs/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-04/index.html,20,a,Sign In / Create Account,Sign In / Create Account,,,,,,,/auth/login?redirect=/kybalion/docs/session-04/,menuAuthLink,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link menuauthlink,yes,no,header_menu
docs/session-04/index.html,21,a,Change Password,Change Password,,,,,,,/app/user-settings,menuChangePasswordLink,menu-link is-hidden,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link is-hidden menuchangepasswordlink,yes,no,header_menu
docs/session-04/index.html,22,button,Log Out,Log Out,,,,,,,menuSignOutLink,menuSignOutLink,menu-link is-hidden,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section button menu-link is-hidden menusignoutlink,yes,no,header_menu
docs/session-04/index.html,26,a,General,General,,,,,,,/kybalion/docs/general/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section a menu-link,yes,no,header_menu
docs/session-04/index.html,28,button,Sessions ▸,Sessions ▸,,,,,,,menuSessionsBtn,menuSessionsBtn,menu-link menu-sessions-trigger,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper button menu-link menu-sessions-trigger menusessionsbtn,yes,yes,header_menu
docs/session-04/index.html,30,a,Session 1,Session 1,,,,,,,/kybalion/docs/session-01/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-04/index.html,31,a,Session 2,Session 2,,,,,,,/kybalion/docs/session-02/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-04/index.html,32,a,Session 3,Session 3,,,,,,,/kybalion/docs/session-03/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-04/index.html,33,a,Session 4,Session 4,,,,,,,/kybalion/docs/session-04/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-04/index.html,34,a,Session 5,Session 5,,,,,,,/kybalion/docs/session-05/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-04/index.html,35,a,Session 6,Session 6,,,,,,,/kybalion/docs/session-06/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-04/index.html,36,a,Session 7,Session 7,,,,,,,/kybalion/docs/session-07/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-04/index.html,37,a,Session 8,Session 8,,,,,,,/kybalion/docs/session-08/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-04/index.html,38,a,Session 9,Session 9,,,,,,,/kybalion/docs/session-09/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-04/index.html,39,a,Session 10,Session 10,,,,,,,/kybalion/docs/session-10/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
docs/session-04/index.html,40,a,Session 11,Session 11,,,,,,,/kybalion/docs/session-11/,,menu-link,html body div page-wrap header topbar div menu-wrapper div menu-panel is-hidden menupanel div menu-section div menu-sessions-wrapper div menu-sessions-flyout is-hidden menusessionsflyout a menu-link,yes,yes,header_menu
